name,website,image_url
Pragati Engineering College,https://www.pragati.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Vishnu Institute of Technology,https://www.vishnu.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Aditya Engineering College,https://aec.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Aditya College of Engineering,https://acet.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Aditya Institute of Technology and Management,https://adityatekkali.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
RVR and JC College of Engineering,https://www.rvrjcce.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Vasavi College of Engineering,https://www.vce.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Sagi Rama Krishnam Raju Engineering College,https://srkrec.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
PVPSIT,https://www.pvpsiddhartha.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
GMR Institute of Technology,https://www.gmrit.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
GVP College for Degree and PG Courses,https://www.gvpcdpgc.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Anil Neerukonda Institute of Technology,https://www.anits.edu.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
QIS College of Engineering and Technology,https://www.qis.edu,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Lendi Institute of Engineering and Technology,https://www.lendi.org,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
AVN Institute of Engineering and Technology,https://www.avniet.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Kakinada Institute of Engineering and Technology,https://www.kiet.edu,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Lakireddy Bali Reddy College of Engineering,https://www.lbrce.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
MJ College of Engineering and Technology,https://mjcollege.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Sree Vidyanikethan Engineering College,https://www.svec.education,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Sri Venkateswara College of Engineering and Technology,https://www.svcet.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
Sri Vasavi Engineering College,https://www.srivasavi.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
mvr degree college,https://mvrdc.ac.in,https://upload.wikimedia.org/wikipedia/commons/a/a3/College_building.jpg
